normalized_title,original_title,details,authors
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::312f694688de670f6fe23812996b68a1 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::68a323503a58c43172762c0b1902abb8 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::d602443326a8b8655596301e4d60cace | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,doi_________::0878e23fb1be7ac2ae364b239f4fc4fb | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'PF', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::991d021d170f2ca22ae63a743c99457c | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::87c9e4445dceff83d117094082e591a9 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::5d71cede64c4d75b4b64496341df8b10 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::fc43264d5418f7dbae67b28856ba5436 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::9bc12cd744ea3566b3cadc7ff87edf61 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::636096f27d587b68a9650ca47aa9d912 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::fe66129cfaf68b3c1aadfcbeeb36de35 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::270c23ab63c0bf17055b4d8dd788b316 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::38ef8d2c032a49568e2debb3c8e20bf2 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::8888e67959680f38d32b27a534b80e7f | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::240cbe95d6a746cff9a89dfb680c02a1 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::360c4374872eff3c9c4b2f3d752fc773 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::131240f716568f0bc3311e6cc5443991 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::8bea9aedcf7df56a225d702fdd9b558d | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::85baaf6209b3f7a3f6e7baf4409ef3be | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
